"","Differential 1 - 2 Last (mV)","Differential 3 - 4 Last (mV)","Differential 5 - 6 Last (mV)","Differential 7 - 8 Last (mV)"
"1674652520","8.32","-4.37","9.80","0.60"
"1674652521","8.21","-4.31","9.82","0.63"
"1674652522","8.32","-4.14","9.50","0.66"
"1674652523","8.23","-4.01","9.73","0.71"
"1674652524","8.24","-4.11","9.91","0.70"
"1674652525","8.24","-4.19","9.78","0.62"
"1674652526","8.22","-4.09","9.75","0.56"
"1674652527","8.23","-4.06","9.80","0.53"
"1674652528","8.30","-4.18","9.56","0.67"
"1674652529","8.25","-4.14","9.88","0.68"
"1674652530","8.29","-4.15","9.75","0.62"
"1674652531","8.37","-4.35","9.67","0.67"
"1674652532","8.31","-4.09","9.71","0.68"
"1674652533","8.26","-4.19","9.71","0.63"
"1674652534","8.30","-4.21","9.69","0.54"
"1674652535","8.24","-4.28","9.92","0.59"
"1674652536","8.30","-4.15","9.80","0.54"
"1674652537","8.38","-4.26","9.67","0.63"
"1674652538","8.38","-4.12","9.62","0.75"
"1674652539","8.25","-4.11","9.79","0.67"
"1674652540","8.30","-4.12","9.81","0.62"
"1674652541","8.35","-3.95","9.75","0.53"
"1674652542","8.30","-3.82","9.60","0.64"
"1674652543","8.33","-4.03","9.77","0.67"
"1674652544","8.35","-4.03","9.77","0.68"
"1674652545","8.34","-4.01","9.78","0.69"
"1674652546","8.34","-4.02","9.82","0.60"
"1674652547","8.35","-4.07","9.84","0.58"
"1674652548","8.35","-4.01","9.86","0.56"
"1674652549","8.36","-4.03","9.88","0.66"
"1674652550","8.37","-3.98","9.91","0.63"
"1674652551","8.39","-3.93","9.94","0.62"
"1674652552","8.42","-3.94","9.96","0.63"
"1674652553","8.44","-3.94","9.98","0.65"
"1674652554","8.46","-3.93","10.00","0.64"
"1674652555","8.50","-3.92","10.03","0.58"
"1674652556","8.53","-3.92","10.06","0.59"
"1674652557","8.56","-3.92","10.09","0.65"
"1674652558","8.58","-3.95","10.10","0.71"
"1674652559","8.60","-3.96","10.13","0.71"
"1674652560","8.62","-3.99","10.16","0.67"
"1674652561","8.65","-4.00","10.19","0.68"
"1674652562","8.67","-4.00","10.22","0.76"
"1674652563","8.69","-4.01","10.24","0.80"
"1674652564","8.71","-4.02","10.26","0.78"
"1674652565","8.73","-4.02","10.30","0.75"
"1674652566","8.75","-4.02","10.34","0.76"
"1674652567","8.77","-4.01","10.37","0.82"
"1674652568","8.78","-4.02","10.39","0.86"
"1674652569","8.80","-4.04","10.42","0.84"
"1674652570","8.81","-4.04","10.46","0.81"
"1674652571","8.83","-4.05","10.50","0.82"
"1674652572","8.85","-4.04","10.53","0.87"
"1674652573","8.86","-4.05","10.55","0.91"
"1674652574","8.87","-4.05","10.57","0.89"
"1674652575","8.88","-4.05","10.60","0.84"
"1674652576","8.89","-4.06","10.64","0.84"
"1674652577","8.91","-4.05","10.66","0.90"
"1674652578","8.92","-4.05","10.70","0.94"
"1674652579","8.92","-4.05","10.76","0.92"
"1674652580","8.93","-4.04","10.84","0.87"
"1674652581","8.94","-4.05","10.92","0.87"
"1674652582","8.95","-4.08","10.99","0.94"
"1674652583","8.96","-4.10","11.03","0.97"
"1674652584","8.96","-4.11","11.07","0.93"
"1674652585","8.97","-4.10","11.12","0.89"
"1674652586","8.98","-4.11","11.16","0.89"
"1674652587","9.00","-4.13","11.19","0.94"
"1674652588","9.00","-4.15","11.21","0.97"
"1674652589","9.01","-4.18","11.24","0.92"
"1674652590","9.02","-4.19","11.27","0.88"
"1674652591","9.03","-4.19","11.30","0.90"
"1674652592","9.04","-4.20","11.31","0.96"
"1674652593","9.04","-4.22","11.32","0.97"
"1674652594","9.04","-4.24","11.34","0.92"
"1674652595","9.05","-4.25","11.36","0.89"
"1674652596","9.06","-4.27","11.39","0.92"
"1674652597","9.07","-4.29","11.39","0.97"
"1674652598","9.07","-4.32","11.40","0.97"
"1674652599","9.07","-4.33","11.41","0.92"
"1674652600","9.08","-4.34","11.43","0.88"
"1674652601","9.08","-4.35","11.45","0.91"
"1674652602","9.09","-4.36","11.45","0.97"
"1674652603","9.09","-4.37","11.45","0.97"
"1674652604","9.09","-4.38","11.46","0.92"
"1674652605","9.09","-4.38","11.48","0.89"
"1674652606","9.10","-4.37","11.49","0.91"
"1674652607","9.10","-4.37","11.49","0.96"
"1674652608","9.10","-4.38","11.49","0.98"
"1674652609","9.10","-4.39","11.49","0.93"
"1674652610","9.10","-4.38","11.51","0.89"
"1674652611","9.11","-4.37","11.52","0.91"
"1674652612","9.11","-4.37","11.52","0.96"
"1674652613","9.11","-4.37","11.52","0.98"
"1674652614","9.11","-4.38","11.52","0.95"
"1674652615","9.11","-4.37","11.53","0.90"
"1674652616","9.12","-4.36","11.54","0.91"
"1674652617","9.13","-4.36","11.54","0.96"
"1674652618","9.13","-4.37","11.54","0.99"
"1674652619","9.12","-4.37","11.54","0.95"
"1674652620","9.13","-4.37","11.55","0.91"
"1674652621","9.13","-4.36","11.55","0.91"
"1674652622","9.13","-4.36","11.55","0.97"
"1674652623","9.13","-4.37","11.54","0.99"
"1674652624","9.13","-4.37","11.54","0.95"
"1674652625","9.13","-4.36","11.55","0.91"
"1674652626","9.14","-4.35","11.55","0.91"
"1674652627","9.14","-4.35","11.55","0.96"
"1674652628","9.14","-4.36","11.54","0.99"
"1674652629","9.14","-4.36","11.54","0.95"
"1674652630","9.14","-4.36","11.55","0.90"
"1674652631","9.14","-4.35","11.55","0.92"
"1674652632","9.15","-4.35","11.55","0.97"
"1674652633","9.15","-4.36","11.54","0.99"
"1674652634","9.14","-4.36","11.54","0.95"
"1674652635","9.14","-4.36","11.54","0.91"
"1674652636","9.15","-4.35","11.55","0.93"
"1674652637","9.15","-4.36","11.54","0.98"
"1674652638","9.15","-4.37","11.53","0.99"
"1674652639","9.15","-4.37","11.53","0.94"
"1674652640","9.15","-4.37","11.54","0.90"
"1674652641","9.15","-4.36","11.54","0.92"
"1674652642","9.15","-4.36","11.53","0.98"
"1674652643","9.15","-4.37","11.52","0.98"
"1674652644","9.15","-4.37","11.52","0.94"
"1674652645","9.15","-4.37","11.53","0.90"
"1674652646","9.15","-4.36","11.53","0.92"
"1674652647","9.15","-4.35","11.52","0.97"
"1674652648","9.15","-4.35","11.51","0.99"
"1674652649","9.14","-4.34","11.51","0.94"
"1674652650","9.14","-4.33","11.51","0.90"
"1674652651","9.14","-4.31","11.51","0.91"
"1674652652","9.14","-4.29","11.51","0.96"
"1674652653","9.14","-4.29","11.50","0.99"
"1674652654","9.14","-4.28","11.49","0.97"
"1674652655","9.14","-4.26","11.50","0.91"
"1674652656","9.14","-4.24","11.50","0.90"
"1674652657","9.14","-4.22","11.50","0.94"
"1674652658","9.14","-4.22","11.49","0.98"
"1674652659","9.14","-4.22","11.48","0.98"
"1674652660","9.13","-4.21","11.48","0.94"
"1674652661","9.13","-4.20","11.48","0.90"
"1674652662","9.13","-4.18","11.49","0.92"
"1674652663","9.13","-4.18","11.48","0.97"
"1674652664","9.13","-4.18","11.47","0.99"
"1674652665","9.13","-4.19","11.47","0.95"
"1674652666","9.13","-4.18","11.47","0.90"
"1674652667","9.13","-4.18","11.47","0.91"
"1674652668","9.13","-4.18","11.47","0.96"
"1674652669","9.12","-4.19","11.46","0.98"
"1674652670","9.12","-4.20","11.45","0.94"
"1674652671","9.12","-4.20","11.46","0.90"
"1674652672","9.12","-4.20","11.46","0.90"
"1674652673","9.12","-4.21","11.45","0.95"
"1674652674","9.12","-4.22","11.44","0.98"
"1674652675","9.11","-4.23","11.44","0.95"
"1674652676","9.11","-4.24","11.44","0.89"
"1674652677","9.11","-4.24","11.45","0.90"
"1674652678","9.11","-4.24","11.44","0.95"
"1674652679","9.11","-4.25","11.43","0.97"
"1674652680","9.11","-4.27","11.42","0.94"
"1674652681","9.11","-4.27","11.43","0.89"
"1674652682","9.11","-4.27","11.43","0.90"
"1674652683","9.11","-4.27","11.42","0.95"
"1674652684","9.11","-4.29","11.41","0.97"
"1674652685","9.10","-4.29","11.40","0.92"
"1674652686","9.10","-4.29","11.41","0.88"
"1674652687","9.10","-4.29","11.41","0.90"
"1674652688","9.10","-4.30","11.40","0.95"
"1674652689","9.10","-4.32","11.39","0.95"
"1674652690","9.09","-4.32","11.39","0.89"
"1674652691","9.09","-4.32","11.39","0.87"
"1674652692","9.09","-4.32","11.39","0.91"
"1674652693","9.09","-4.33","11.38","0.96"
"1674652694","9.09","-4.34","11.37","0.94"
"1674652695","9.09","-4.35","11.37","0.89"
"1674652696","9.09","-4.35","11.38","0.88"
"1674652697","9.09","-4.35","11.37","0.93"
"1674652698","9.09","-4.36","11.36","0.96"
"1674652699","9.09","-4.38","11.35","0.92"
"1674652700","9.09","-4.38","11.36","0.87"
"1674652701","9.09","-4.38","11.36","0.87"
"1674652702","9.09","-4.39","11.35","0.93"
"1674652703","9.09","-4.40","11.34","0.95"
"1674652704","9.09","-4.41","11.33","0.90"
"1674652705","9.09","-4.41","11.34","0.86"
"1674652706","9.09","-4.41","11.34","0.87"
"1674652707","9.10","-4.41","11.33","0.92"
"1674652708","9.09","-4.42","11.32","0.94"
"1674652709","9.09","-4.43","11.32","0.89"
"1674652710","9.09","-4.43","11.32","0.85"
"1674652711","9.10","-4.43","11.32","0.86"
"1674652712","9.10","-4.43","11.31","0.91"
"1674652713","9.10","-4.44","11.30","0.94"
"1674652714","9.10","-4.45","11.30","0.90"
"1674652715","9.10","-4.45","11.30","0.85"
"1674652716","9.11","-4.45","11.30","0.86"
"1674652717","9.11","-4.46","11.29","0.91"
"1674652718","9.11","-4.47","11.28","0.93"
"1674652719","9.11","-4.48","11.28","0.89"
"1674652720","9.11","-4.48","11.28","0.84"
"1674652721","9.12","-4.47","11.29","0.85"
"1674652722","9.12","-4.48","11.28","0.91"
"1674652723","9.12","-4.49","11.27","0.92"
"1674652724","9.12","-4.50","11.26","0.88"
"1674652725","9.12","-4.50","11.27","0.84"
"1674652726","9.12","-4.50","11.27","0.85"
"1674652727","9.13","-4.51","11.26","0.90"
"1674652728","9.13","-4.52","11.25","0.92"
"1674652729","9.13","-4.53","11.25","0.87"
"1674652730","9.13","-4.53","11.25","0.83"
"1674652731","9.13","-4.53","11.26","0.85"
"1674652732","9.14","-4.54","11.25","0.91"
"1674652733","9.14","-4.56","11.24","0.92"
"1674652734","9.14","-4.57","11.24","0.87"
"1674652735","9.14","-4.57","11.24","0.83"
"1674652736","9.15","-4.56","11.24","0.86"
"1674652737","9.15","-4.57","11.23","0.91"
"1674652738","9.15","-4.58","11.22","0.90"
"1674652739","9.15","-4.58","11.22","0.85"
"1674652740","9.15","-4.57","11.23","0.82"
"1674652741","9.15","-4.56","11.23","0.85"
"1674652742","9.16","-4.57","11.21","0.90"
"1674652743","9.16","-4.57","11.20","0.89"
"1674652744","9.16","-4.57","11.20","0.84"
"1674652745","9.16","-4.53","11.21","0.82"
"1674652746","9.11","-4.41","10.88","0.44"
"1674652747","9.24","-4.34","10.22","0.54"
"1674652748","9.27","-4.28","10.55","0.67"
"1674652749","9.29","-4.26","10.56","0.88"
"1674652750","9.31","-4.25","10.59","0.95"
"1674652751","9.32","-4.27","10.61","1.00"
"1674652752","9.33","-4.30","10.62","1.01"
"1674652753","9.33","-4.32","10.63","0.96"
"1674652754","9.33","-4.32","10.67","0.90"
"1674652755","9.32","-4.39","10.67","0.89"
"1674652756","9.31","-3.90","10.52","0.85"
"1674652757","9.29","-3.70","10.56","0.97"
"1674652758","9.28","-3.52","10.48","0.96"
"1674652759","9.28","-3.44","10.43","0.98"
"1674652760","9.28","-3.42","10.43","1.05"
"1674652761","9.27","-3.42","10.40","1.10"
"1674652762","9.26","-3.44","10.38","1.11"
"1674652763","9.25","-3.45","10.40","1.02"
"1674652764","9.25","-3.47","10.40","1.02"
"1674652765","9.26","-3.50","10.40","1.05"
"1674652766","9.26","-3.54","10.40","1.05"
"1674652767","9.25","-3.57","10.40","1.03"
"1674652768","9.24","-3.60","10.40","1.02"
"1674652769","9.24","-3.85","10.37","1.01"
"1674652770","9.24","-3.96","10.36","1.02"
"1674652771","9.24","-3.99","10.37","1.02"
"1674652772","9.23","-3.98","10.38","0.98"
"1674652773","9.23","-4.00","10.40","0.94"
"1674652774","9.23","-4.01","10.42","0.97"
"1674652775","9.23","-4.02","10.42","1.01"
"1674652776","9.23","-4.05","10.43","0.96"
"1674652777","9.23","-4.07","10.45","0.92"
"1674652778","9.23","-4.08","10.47","0.93"
"1674652779","9.23","-4.11","10.48","0.99"
"1674652780","9.23","-4.15","10.49","0.98"
"1674652781","9.22","-4.18","10.51","0.91"
"1674652782","9.22","-4.21","10.53","0.86"
"1674652783","9.23","-4.24","10.55","0.91"
"1674652784","9.23","-4.28","10.55","0.94"
"1674652785","9.22","-4.31","10.56","0.92"
"1674652786","9.21","-4.34","10.58","0.86"
"1674652787","9.22","-4.36","10.60","0.85"
"1674652788","9.21","-4.38","10.61","0.90"
"1674652789","9.21","-4.42","10.62","0.92"
"1674652790","9.20","-4.44","10.63","0.86"
"1674652791","9.20","-4.46","10.65","0.82"
"1674652792","9.20","-4.47","10.66","0.84"
"1674652793","9.19","-4.49","10.66","0.89"
"1674652794","9.19","-4.52","10.67","0.89"
"1674652795","9.18","-4.53","10.68","0.84"
"1674652796","9.18","-4.54","10.70","0.81"
"1674652797","9.18","-4.55","10.71","0.84"
"1674652798","9.18","-4.57","10.71","0.89"
"1674652799","9.17","-4.58","10.71","0.87"
"1674652800","9.17","-4.59","10.72","0.81"
"1674652801","9.16","-4.59","10.74","0.80"
"1674652802","9.16","-4.60","10.75","0.84"
"1674652803","9.16","-4.61","10.74","0.89"
"1674652804","9.15","-4.62","10.75","0.85"
"1674652805","9.15","-4.63","10.76","0.80"
"1674652806","9.15","-4.62","10.78","0.81"
"1674652807","9.15","-4.63","10.78","0.86"
"1674652808","9.15","-4.64","10.78","0.89"
"1674652809","9.14","-4.64","10.78","0.84"
"1674652810","9.13","-4.64","10.80","0.80"
"1674652811","9.13","-4.63","10.81","0.82"
"1674652812","9.13","-4.63","10.81","0.87"
"1674652813","9.13","-4.64","10.80","0.88"
"1674652814","9.12","-4.64","10.81","0.83"
"1674652815","9.12","-4.64","10.82","0.79"
"1674652816","9.12","-4.63","10.83","0.83"
"1674652817","9.12","-4.64","10.82","0.88"
"1674652818","9.11","-4.65","10.82","0.86"
"1674652819","9.11","-4.65","10.83","0.80"
"1674652820","9.11","-4.64","10.84","0.79"
"1674652821","9.11","-4.64","10.84","0.84"
"1674652822","9.10","-4.65","10.83","0.88"
"1674652823","9.10","-4.66","10.83","0.84"
"1674652824","9.09","-4.66","10.84","0.80"
"1674652825","9.09","-4.66","10.85","0.81"
"1674652826","9.09","-4.66","10.85","0.86"
"1674652827","9.09","-4.67","10.84","0.88"
"1674652828","9.08","-4.68","10.84","0.84"
"1674652829","9.08","-4.67","10.86","0.79"
"1674652830","9.08","-4.67","10.86","0.82"
"1674652831","9.08","-4.67","10.85","0.88"
"1674652832","9.07","-4.68","10.85","0.88"
"1674652833","9.07","-4.69","10.85","0.82"
"1674652834","9.07","-4.68","10.87","0.79"
"1674652835","9.07","-4.68","10.87","0.83"
"1674652836","9.06","-4.69","10.86","0.88"
"1674652837","9.06","-4.70","10.86","0.87"
"1674652838","9.06","-4.70","10.87","0.81"
"1674652839","9.06","-4.69","10.87","0.80"
"1674652840","9.06","-4.69","10.88","0.84"
"1674652841","9.05","-4.70","10.87","0.88"
"1674652842","9.05","-4.71","10.87","0.87"
"1674652843","9.04","-4.72","10.88","0.80"
"1674652844","9.04","-4.71","10.88","0.81"
"1674652845","9.05","-4.71","10.88","0.85"
"1674652846","9.04","-4.73","10.88","0.88"
"1674652847","9.04","-4.74","10.88","0.84"
"1674652848","9.03","-4.74","10.89","0.80"
"1674652849","9.04","-4.74","10.90","0.81"
"1674652850","9.04","-4.75","10.90","0.86"
"1674652851","9.03","-4.76","10.89","0.87"
"1674652852","9.03","-4.77","10.90","0.82"
"1674652853","9.03","-4.76","10.91","0.79"
"1674652854","9.03","-4.76","10.91","0.82"
"1674652855","9.03","-4.76","10.90","0.87"
"1674652856","9.02","-4.77","10.90","0.85"
"1674652857","9.02","-4.76","10.91","0.80"
"1674652858","9.02","-4.75","10.92","0.79"
"1674652859","9.02","-4.74","10.91","0.84"
"1674652860","9.02","-4.75","10.91","0.88"
"1674652861","9.01","-4.74","10.91","0.84"
"1674652862","9.01","-4.73","10.92","0.79"
"1674652863","9.01","-4.71","10.93","0.81"
"1674652864","9.01","-4.69","10.92","0.86"
"1674652865","9.00","-4.69","10.91","0.86"
"1674652866","9.00","-4.68","10.92","0.81"
"1674652867","9.00","-4.66","10.92","0.78"
"1674652868","9.00","-4.64","10.93","0.82"
"1674652869","9.00","-4.63","10.92","0.87"
"1674652870","9.00","-4.62","10.91","0.84"
"1674652871","8.99","-4.60","10.92","0.79"
"1674652872","9.00","-4.58","10.93","0.79"
"1674652873","9.00","-4.57","10.92","0.84"
"1674652874","9.00","-4.57","10.92","0.87"
"1674652875","8.99","-4.56","10.92","0.82"
"1674652876","8.99","-4.54","10.92","0.77"
"1674652877","8.99","-4.53","10.93","0.80"
"1674652878","9.00","-4.53","10.92","0.85"
"1674652879","8.99","-4.53","10.91","0.86"
"1674652880","8.99","-4.52","10.91","0.80"
"1674652881","8.99","-4.51","10.92","0.77"
"1674652882","8.99","-4.50","10.92","0.80"
"1674652883","8.99","-4.49","10.91","0.86"
"1674652884","8.99","-4.50","10.91","0.84"
"1674652885","8.99","-4.49","10.91","0.79"
"1674652886","8.99","-4.48","10.91","0.77"
"1674652887","8.99","-4.47","10.91","0.80"
"1674652888","8.99","-4.47","10.90","0.85"
"1674652889","8.99","-4.48","10.90","0.83"
"1674652890","8.99","-4.47","10.90","0.78"
"1674652891","8.99","-4.46","10.91","0.76"
"1674652892","8.99","-4.46","10.90","0.80"
"1674652893","8.99","-4.46","10.89","0.84"
"1674652894","8.99","-4.47","10.88","0.84"
"1674652895","8.98","-4.47","10.88","0.79"
"1674652896","8.99","-4.46","10.89","0.76"
"1674652897","8.99","-4.45","10.89","0.79"
"1674652898","8.99","-4.46","10.88","0.84"
"1674652899","8.99","-4.47","10.87","0.83"
"1674652900","8.98","-4.47","10.87","0.79"
"1674652901","8.98","-4.47","10.87","0.75"
"1674652902","8.98","-4.46","10.87","0.77"
"1674652903","8.98","-4.47","10.86","0.83"
"1674652904","8.98","-4.48","10.85","0.83"
"1674652905","8.98","-4.48","10.85","0.78"
"1674652906","8.98","-4.48","10.86","0.74"
"1674652907","8.98","-4.48","10.86","0.77"
"1674652908","8.98","-4.48","10.85","0.82"
"1674652909","8.98","-4.49","10.84","0.83"
"1674652910","8.97","-4.50","10.84","0.76"
"1674652911","8.97","-4.50","10.85","0.73"
"1674652912","8.97","-4.50","10.85","0.77"
"1674652913","8.97","-4.50","10.84","0.81"
"1674652914","8.97","-4.52","10.83","0.81"
"1674652915","8.96","-4.52","10.83","0.75"
"1674652916","8.97","-4.52","10.84","0.73"
"1674652917","8.97","-4.51","10.84","0.77"
"1674652918","8.96","-4.52","10.83","0.81"
"1674652919","8.96","-4.53","10.82","0.79"
"1674652920","8.96","-4.53","10.82","0.73"
"1674652921","8.96","-4.52","10.82","0.72"
"1674652922","8.96","-4.52","10.82","0.76"
"1674652923","8.96","-4.53","10.80","0.80"
"1674652924","8.95","-4.53","10.80","0.77"
"1674652925","8.95","-4.53","10.80","0.72"
"1674652926","8.95","-4.52","10.81","0.71"
"1674652927","8.95","-4.51","10.81","0.76"
"1674652928","8.95","-4.52","10.80","0.79"
"1674652929","8.95","-4.52","10.79","0.77"
"1674652930","8.94","-4.52","10.80","0.71"
"1674652931","8.95","-4.50","10.81","0.71"
"1674652932","8.95","-4.50","10.81","0.76"
"1674652933","8.94","-4.50","10.80","0.79"
"1674652934","8.94","-4.51","10.80","0.75"
"1674652935","8.94","-4.50","10.81","0.70"
"1674652936","8.94","-4.49","10.81","0.71"
"1674652937","8.94","-4.49","10.81","0.76"
"1674652938","8.94","-4.49","10.80","0.78"
"1674652939","8.94","-4.49","10.81","0.73"
"1674652940","8.94","-4.49","10.82","0.69"
"1674652941","8.94","-4.48","10.82","0.70"
"1674652942","8.94","-4.48","10.82","0.75"
"1674652943","8.94","-4.48","10.81","0.77"
"1674652944","8.94","-4.48","10.82","0.72"
"1674652945","8.94","-4.47","10.83","0.68"
"1674652946","8.94","-4.46","10.83","0.70"
"1674652947","8.94","-4.46","10.82","0.75"
"1674652948","8.94","-4.46","10.82","0.76"
"1674652949","8.93","-4.46","10.82","0.71"
"1674652950","8.93","-4.45","10.83","0.67"
"1674652951","8.94","-4.44","10.83","0.71"
"1674652952","8.94","-4.44","10.82","0.76"
"1674652953","8.93","-4.44","10.82","0.75"
"1674652954","8.93","-4.43","10.82","0.69"
"1674652955","8.93","-4.42","10.83","0.67"
"1674652956","8.94","-4.41","10.83","0.73"
"1674652957","8.93","-4.41","10.82","0.75"
"1674652958","8.93","-4.41","10.82","0.72"
"1674652959","8.93","-4.40","10.83","0.67"
"1674652960","8.93","-4.39","10.83","0.68"
"1674652961","8.94","-4.39","10.83","0.73"
"1674652962","8.93","-4.39","10.82","0.75"
"1674652963","8.93","-4.39","10.82","0.68"
"1674652964","8.93","-4.38","10.83","0.66"
"1674652965","8.94","-4.38","10.83","0.70"
"1674652966","8.94","-4.38","10.82","0.74"
"1674652967","8.93","-4.39","10.82","0.72"
"1674652968","8.93","-4.39","10.82","0.67"
"1674652969","8.93","-4.39","10.83","0.66"
"1674652970","8.94","-4.39","10.82","0.72"
"1674652971","8.94","-4.40","10.82","0.74"
"1674652972","8.94","-4.41","10.82","0.69"
"1674652973","8.94","-4.40","10.83","0.65"
"1674652974","8.94","-4.40","10.83","0.67"
"1674652975","8.94","-4.41","10.82","0.73"
"1674652976","8.94","-4.42","10.81","0.71"
"1674652977","8.94","-4.43","10.82","0.66"
"1674652978","8.94","-4.42","10.83","0.64"
"1674652979","8.94","-4.43","10.83","0.69"
"1674652980","8.94","-4.44","10.82","0.73"
"1674652981","8.94","-4.45","10.81","0.70"
"1674652982","8.93","-4.45","10.82","0.65"
"1674652983","8.94","-4.44","10.83","0.65"
"1674652984","8.94","-4.45","10.82","0.71"
"1674652985","8.94","-4.46","10.81","0.72"
"1674652986","8.93","-4.46","10.81","0.68"
"1674652987","8.93","-4.46","10.82","0.63"
"1674652988","8.94","-4.45","10.83","0.65"
"1674652989","8.94","-4.46","10.82","0.71"
"1674652990","8.94","-4.47","10.81","0.71"
"1674652991","8.93","-4.47","10.81","0.66"
"1674652992","8.93","-4.46","10.82","0.63"
"1674652993","8.93","-4.45","10.82","0.66"
"1674652994","8.93","-4.45","10.82","0.71"
"1674652995","8.93","-4.46","10.81","0.71"
"1674652996","8.93","-4.46","10.82","0.64"
"1674652997","8.93","-4.44","10.82","0.62"
"1674652998","8.93","-4.44","10.82","0.67"
"1674652999","8.93","-4.44","10.81","0.71"
"1674653000","8.93","-4.45","10.81","0.70"
"1674653001","8.93","-4.44","10.81","0.65"
"1674653002","8.93","-4.43","10.82","0.62"
"1674653003","8.93","-4.43","10.82","0.67"
"1674653004","8.93","-4.43","10.81","0.71"
"1674653005","8.92","-4.44","10.81","0.70"
"1674653006","8.92","-4.43","10.81","0.64"
"1674653007","8.92","-4.43","10.82","0.62"
"1674653008","8.92","-4.42","10.82","0.65"
"1674653009","8.92","-4.42","10.81","0.70"
"1674653010","8.92","-4.43","10.81","0.70"
"1674653011","8.92","-4.43","10.81","0.65"
"1674653012","8.92","-4.43","10.81","0.62"
"1674653013","8.92","-4.42","10.82","0.64"
"1674653014","8.92","-4.42","10.81","0.68"
"1674653015","8.92","-4.43","10.80","0.71"
"1674653016","8.91","-4.43","10.80","0.66"
"1674653017","8.91","-4.43","10.81","0.62"
"1674653018","8.91","-4.42","10.82","0.62"
"1674653019","8.91","-4.42","10.81","0.67"
"1674653020","8.91","-4.43","10.80","0.70"
"1674653021","8.91","-4.44","10.80","0.68"
"1674653022","8.90","-4.44","10.81","0.63"
"1674653023","8.91","-4.43","10.81","0.61"
"1674653024","8.91","-4.42","10.81","0.66"
"1674653025","8.91","-4.43","10.80","0.69"
"1674653026","8.90","-4.43","10.80","0.68"
"1674653027","8.90","-4.43","10.80","0.63"
"1674653028","8.90","-4.42","10.81","0.60"
"1674653029","8.90","-4.41","10.81","0.63"
"1674653030","8.90","-4.41","10.80","0.68"
"1674653031","8.90","-4.42","10.80","0.68"
"1674653032","8.89","-4.41","10.80","0.63"
"1674653033","8.90","-4.40","10.81","0.60"
"1674653034","8.90","-4.39","10.81","0.62"
"1674653035","8.90","-4.39","10.81","0.67"
"1674653036","8.89","-4.39","10.80","0.68"
"1674653037","8.89","-4.39","10.80","0.63"
"1674653038","8.89","-4.38","10.81","0.59"
"1674653039","8.89","-4.36","10.81","0.62"
"1674653040","8.89","-4.36","10.81","0.67"
"1674653041","8.89","-4.36","10.80","0.68"
"1674653042","8.89","-4.36","10.80","0.64"
"1674653043","8.89","-4.34","10.81","0.59"
"1674653044","8.89","-4.33","10.81","0.62"
"1674653045","8.89","-4.32","10.81","0.67"
"1674653046","8.89","-4.32","10.80","0.68"
"1674653047","8.89","-4.32","10.80","0.63"
"1674653048","8.89","-4.31","10.81","0.59"
"1674653049","8.89","-4.30","10.81","0.60"
"1674653050","8.88","-4.29","10.81","0.66"
"1674653051","8.88","-4.29","10.80","0.67"
"1674653052","8.88","-4.29","10.80","0.63"
"1674653053","8.88","-4.28","10.81","0.59"
"1674653054","8.88","-4.27","10.82","0.59"
"1674653055","8.89","-4.26","10.81","0.64"
"1674653056","8.88","-4.26","10.80","0.67"
"1674653057","8.88","-4.26","10.80","0.63"
"1674653058","8.88","-4.25","10.81","0.58"
"1674653059","8.88","-4.24","10.82","0.58"
"1674653060","8.88","-4.24","10.81","0.63"
"1674653061","8.88","-4.24","10.80","0.66"
"1674653062","8.87","-4.24","10.80","0.64"
"1674653063","8.86","-4.23","10.81","0.58"
"1674653064","8.88","-4.22","10.82","0.57"
"1674653065","8.87","-4.22","10.82","0.62"
"1674653066","8.87","-4.22","10.81","0.66"
"1674653067","8.87","-4.22","10.80","0.64"
"1674653068","8.87","-4.22","10.81","0.59"
"1674653069","8.87","-4.21","10.81","0.56"
"1674653070","8.87","-4.20","10.82","0.60"
"1674653071","8.87","-4.20","10.81","0.65"
"1674653072","8.86","-4.20","10.80","0.65"
"1674653073","8.86","-4.20","10.81","0.60"
"1674653074","8.86","-4.19","10.81","0.57"
"1674653075","8.86","-4.19","10.82","0.58"
"1674653076","8.86","-4.18","10.81","0.63"
"1674653077","8.86","-4.19","10.81","0.65"
"1674653078","8.85","-4.19","10.81","0.60"
"1674653079","8.85","-4.18","10.81","0.56"
"1674653080","8.86","-4.17","10.82","0.57"
"1674653081","8.86","-4.17","10.82","0.62"
"1674653082","8.86","-4.17","10.81","0.65"
"1674653083","8.85","-4.17","10.81","0.61"
"1674653084","8.85","-4.17","10.82","0.56"
"1674653085","8.85","-4.15","10.82","0.57"
"1674653086","8.85","-4.15","10.82","0.61"
"1674653087","8.85","-4.15","10.81","0.65"
"1674653088","8.84","-4.15","10.81","0.62"
"1674653089","8.84","-4.14","10.81","0.57"
"1674653090","8.84","-4.12","10.82","0.56"
"1674653091","8.84","-4.10","10.82","0.61"
"1674653092","8.84","-4.10","10.81","0.64"
"1674653093","8.84","-4.09","10.81","0.61"
"1674653094","8.84","-4.08","10.82","0.56"
"1674653095","8.84","-4.06","10.82","0.55"
"1674653096","8.84","-4.05","10.82","0.59"
"1674653097","8.83","-4.04","10.81","0.64"
"1674653098","8.83","-4.03","10.81","0.61"
"1674653099","8.83","-4.02","10.82","0.56"
