"","Single-ended 7 Last (µV)","Single-ended 7 Ave. (µV)","Single-ended 8 Last (µV)","Single-ended 8 Ave. (µV)"
"00:04:27","60635,674745","60635,674745","49108,508974","49108,508974"
"00:04:28","100321,881473","100321,881473","33338,464797","33338,464797"
"00:04:29","114836,893976","114836,893976","8038,093336","8038,093336"
"00:04:30","129207,730293","129207,730293","-8302,336559","-8302,336559"
"00:04:31","-455,450529","-455,450529","-743,611832","-743,611832"
"00:04:32","-325,162400","-325,162400","-806,034543","-806,034543"
"00:04:33","-10362,287052","-10362,287052","32386,470586","32386,470586"
"00:04:34","71860,447526","71860,447526","",""
"00:04:35","-3970,447928","-3970,447928","",""
"00:04:36","31592,026353","31592,026353","36443,375051","36443,375051"
"00:04:37","4264,275078","4264,275078","-6868,995726","-6868,995726"
"00:04:38","-56581,255049","-56581,255049","60318,823904","60318,823904"
"00:04:39","-51642,403007","-51642,403007","",""
"00:04:40","-40269,501507","-40269,501507","",""
"00:04:41","","","-58007,020503","-58007,020503"
"00:04:42","","","3597,573843","3597,573843"
"00:04:43","","","",""
"00:04:44","","","",""
"00:04:45","","","",""
