"","Single-ended 7 Last (µV)","Single-ended 8 Last (µV)"
"00:08:49","7512,859534","-6161,672063"
"00:08:50","7447,049022","-6176,588591"
"00:08:51","7544,660009","-5217,006896"
"00:08:52","32047,081739","22859,496996"
"00:08:53","28021,238744","12659,062631"
"00:08:54","17806,943506","1287,319697"
"00:08:55","","19349,746406"
"00:08:56","",""
"00:08:57","","34802,645445"
"00:08:58","","30734,665692"
"00:08:59","","30924,852937"
"00:09:00","","32019,134611"
"00:09:01","","32479,632646"
"00:09:02","","32398,737967"
"00:09:03","","31916,152686"
"00:09:04","-459,753326","24883,139879"
"00:09:05","-469,421269","6096,846890"
"00:09:06","-596,338767","-540,593755"
"00:09:07","-454,932917","-678,868382"
"00:09:08","-567,909912","-512,475614"
"00:09:09","-517,454871","-639,819249"
"00:09:10","-452,090753","-588,041556"
"00:09:11","-597,226724","-549,447315"
"00:09:12","-445,812038","-692,460977"
"00:09:13","-590,459909","-500,350608"
"00:09:14","-23635,698482","20676,895976"
"00:09:15","-5602,577701","1587,475883"
"00:09:16","-797,552173","2404,256957"
"00:09:17","-4830,650054","2566,115931"
"00:09:18","-558,114902","-535,440922"
"00:09:19","-492,933614","-659,083074"
"00:09:20","-493,197876","-584,023132"
"00:09:21","-591,253338","-570,941949"
"00:09:22","-466,940168","-620,364095"
"00:09:23","-583,328074","-533,933809"
"00:09:24","-466,999045","-639,393111"
"00:09:25","-481,249503","-553,500606"
"00:09:26","-587,106275","-586,122973"
"00:09:27","-375,662377","-570,734264"
"00:09:28","-615,673838","-551,185338"
"00:09:29","-471,513398","-650,292262"
"00:09:30","-535,892672","-555,527629"
"00:09:31","-565,188588","-634,852389"
"00:09:32","-5208,931398","1528,325374"
"00:09:33","-534,757506","-584,080466"
"00:09:34","",""
"00:09:35","",""
"00:09:36","",""
"00:09:37","",""
"00:09:38","",""
"00:09:39","",""
